Matricula;Data;Horas Extras Pagas (SO);Horas Extras Pagas (SX);Horas Extras Pagas em Feriado (SO);Horas Extras Pagas em Feriado (SX);Horas Extras Não Autorizadas;SO
103794;2020-01-01;00:00;00:00;10:57;00:00;00:00;657
102195;2020-01-01;00:00;00:00;07:22;00:00;00:00;442
50154;2020-01-01;00:00;00:00;07:17;00:00;00:00;437
12220;2020-01-01;00:00;00:00;00:00;00:00;07:20;0
104681;2020-01-01;00:00;00:00;00:00;00:00;08:51;0
11148;2020-01-01;00:00;00:00;00:00;00:00;06:36;0
100413;2020-01-01;00:02;00:00;00:00;00:00;00:00;2
207277;2020-01-01;00:00;00:00;00:00;00:00;07:22;0
207857;2020-01-01;00:00;00:00;00:00;10:53;00:00;0
209926;2020-01-01;00:00;00:00;00:00;00:00;05:45;0
210156;2020-01-01;00:00;00:00;00:00;00:00;07:02;0
211449;2020-01-01;00:00;00:00;00:00;00:00;06:27;0
211507;2020-01-01;00:00;00:00;00:00;00:00;07:18;0
212087;2020-01-01;00:00;00:00;00:00;10:41;00:00;0
212383;2020-01-01;00:00;00:00;00:00;00:00;08:02;0
213246;2020-01-01;00:00;00:00;00:00;00:00;07:22;0
213595;2020-01-01;00:00;00:00;10:36;00:00;00:00;636
214208;2020-01-01;00:00;00:00;07:24;00:00;00:00;444
214231;2020-01-01;00:00;00:00;11:01;00:00;00:00;661
216447;2020-01-01;00:00;00:00;00:00;00:00;08:51;0
216617;2020-01-01;00:00;00:00;00:00;00:00;07:25;0
216682;2020-01-01;00:00;00:00;00:00;07:06;00:00;0
216746;2020-01-01;00:00;00:00;00:00;03:49;00:00;0
216833;2020-01-01;00:00;00:00;00:00;00:00;07:22;0
217154;2020-01-01;00:00;00:00;11:01;00:00;00:00;661
217257;2020-01-01;00:00;00:00;00:00;05:03;00:00;0
217366;2020-01-01;00:00;00:00;00:00;00:00;07:25;0
217377;2020-01-01;00:00;00:00;00:00;00:00;07:18;0
