MATRÍCULA;NÚM. VIAGENS DIA;VALOR POR VIAGEM;DATA;DATA FIM
2781;2;2.3;2011-06-01;2021-04-30
3108;4;5.65;2018-01-17;2021-04-30
3143;2;4.5;2014-11-05;2020-04-02
3143;2;6.35;2020-04-02;2021-04-30
10027;4;4.83;2011-06-01;2021-04-30
10182;2;4.83;2011-06-01;2011-06-01
10182;2;4.5;2011-06-01;2021-04-30
10298;2;9.24;2021-02-08;2021-04-30
10310;2;3.0;2011-06-01;2011-06-01
10310;2;3.7;2011-06-01;2021-04-30
10339;2;4.83;2011-06-01;2021-04-30
10693;2;4.0;2011-06-01;2011-06-01
10693;2;4.83;2011-06-01;2011-06-01
10693;2;4.2;2011-06-01;2021-04-30
10910;2;4.83;2011-06-01;2011-06-01
10910;2;3.7;2011-06-01;2021-04-30
10994;2;9.24;2019-03-14;2019-03-20
10994;2;4.83;2019-03-20;2021-04-30
11035;4;4.83;2011-06-01;2021-04-30
11148;2;9.24;2012-02-01;2021-04-30
11473;2;4.4;2011-06-01;2011-06-01
11473;2;5.1;2011-06-01;2021-04-30
11713;2;3.7;2011-06-01;2021-04-30
11901;2;2.8;2011-06-01;2011-06-01
11901;2;3.2;2011-06-01;2021-04-30
12149;4;4.95;2011-06-01;2021-04-30
12230;2;4.83;2013-04-03;2021-04-30
12265;2;4.83;2011-06-01;2021-04-30
40040;4;4.05;2011-06-01;2021-04-30
40049;4;4.05;2011-06-01;2021-04-30
40090;4;4.05;2011-06-01;2021-04-30
40102;6;4.05;2011-06-01;2021-04-30
40131;2;6.0;2017-02-08;2019-04-08
40131;2;6.7;2019-04-08;2021-04-30
40202;4;3.35;2011-06-01;2021-04-30
40246;4;3.35;2011-06-01;2021-04-30
40313;4;4.05;2011-06-01;2021-04-30
40361;2;8.55;2017-07-04;2021-04-30
40397;2;4.05;2014-06-11;2016-02-11
40397;2;4.05;2016-02-11;2021-04-30
40559;2;4.05;2011-06-01;2021-04-30
40622;2;7.2;2018-03-05;2021-04-30
40734;4;4.05;2011-06-01;2021-04-30
40941;2;4.05;2014-04-07;2021-04-30
40955;4;4.05;2011-06-01;2021-04-30
41072;4;4.05;2018-08-06;2019-06-19
41072;2;4.6;2019-06-19;2021-04-30
41095;2;4.05;2014-06-25;2021-04-30
41096;2;4.05;2011-06-01;2021-04-30
41101;4;4.05;2014-10-09;2021-04-30
41178;2;4.05;2011-06-01;2011-06-01
41178;2;4.05;2011-06-01;2021-04-30
41334;2;4.05;2011-06-01;2021-04-30
41520;2;4.05;2011-06-01;2021-04-30
41584;4;4.05;2011-06-01;2021-04-30
50011;2;4.5;2011-06-01;2011-06-01
50011;2;4.9;2011-06-01;2021-04-30
50054;2;4.5;2011-06-01;2011-06-01
50054;2;5.2;2011-06-01;2021-04-30
50060;2;5.25;2011-06-01;2021-04-30
50078;4;4.5;2011-06-01;2021-04-30
50110;2;4.5;2011-06-01;2021-04-30
50151;2;4.9;2011-06-01;2011-06-01
50151;2;6.45;2011-06-01;2021-04-30
50154;2;4.5;2019-09-30;2021-04-30
50398;2;7.75;2011-06-01;2021-04-30
60051;2;3.0;2011-06-01;2021-04-30
80039;4;4.15;2011-06-01;2021-04-30
80052;2;4.15;2014-09-02;2021-04-30
80053;2;4.15;2011-06-01;2021-04-30
80057;2;4.8;2014-07-23;2015-01-07
80057;2;4.15;2015-01-07;2021-04-30
80061;1;4.8;2015-05-11;2015-05-11
80061;2;4.15;2015-05-11;2021-04-30
80070;2;4.15;2015-09-11;2021-04-30
80071;2;4.15;2011-06-01;2021-04-30
80073;2;4.8;2011-06-01;2011-06-01
80073;2;4.15;2011-06-01;2021-04-30
80095;2;4.15;2011-06-01;2021-04-30
80105;1;4.7;2011-06-01;2011-06-01
80105;2;8.48;2011-06-01;2021-04-30
80161;2;4.15;2015-07-30;2021-04-30
90005;2;4.5;2011-06-01;2018-03-05
90005;2;4.5;2018-03-05;2021-04-30
90066;2;4.5;2011-06-01;2021-04-30
90115;2;4.5;2011-06-01;2021-04-30
90136;2;4.5;2011-06-01;2021-04-30
90293;2;4.2;2011-06-01;2012-02-01
90293;2;4.8;2012-02-01;2021-04-30
100035;2;8.55;2017-01-13;2021-04-30
100050;4;4.25;2017-02-03;2021-04-30
100155;3;8.5;2020-07-28;2021-04-30
100156;4;5.0;2021-03-12;2021-04-30
100186;2;4.05;2011-06-01;2011-06-01
100186;2;4.5;2011-06-01;2021-04-30
100290;2;10.3;2016-05-25;2021-04-30
100292;1;8.9;2019-03-15;2019-03-15
100292;2;11.6;2019-03-15;2021-04-30
100295;2;1.75;2020-12-11;2020-12-11
100295;2;7.0;2020-12-11;2021-04-30
100298;2;6.0;2017-02-08;2017-02-08
100298;1;11.6;2017-02-08;2021-04-30
100359;2;4.05;2014-06-10;2021-04-30
100377;2;4.05;2014-06-10;2021-04-30
100403;2;4.05;2011-06-01;2021-04-30
100410;2;4.05;2016-02-27;2019-07-31
100410;2;8.65;2019-07-31;2021-04-30
100411;2;4.05;2017-03-28;2017-03-28
100411;3;4.0;2017-03-28;2017-03-28
100411;1;9.2;2017-03-28;2021-04-30
100413;3;8.55;2017-02-08;2021-04-30
100419;4;4.05;2017-02-08;2019-05-17
100419;2;4.6;2019-05-17;2021-04-30
100438;2;4.05;2014-04-07;2021-04-30
100482;2;8.55;2017-02-09;2017-02-09
100482;2;4.05;2017-02-09;2021-04-30
100500;1;4.05;2013-09-11;2014-08-11
100500;1;4.05;2014-08-11;2021-04-30
100506;4;4.05;2011-06-01;2021-04-30
100507;2;4.05;2011-06-01;2021-04-30
100511;4;4.05;2011-06-01;2021-04-30
100516;2;2.85;2011-06-01;2011-06-01
100516;2;4.05;2011-06-01;2021-04-30
100861;2;9.24;2016-12-21;2019-01-23
100861;2;5.45;2019-01-23;2021-04-30
100992;4;6.0;2017-04-18;2021-04-30
101021;4;4.05;2011-06-01;2021-04-30
101070;2;4.05;2011-06-01;2021-04-30
101090;4;4.05;2011-06-01;2021-04-30
101556;2;3.15;2011-06-01;2011-06-01
101556;2;4.94;2011-06-01;2021-04-30
101598;2;2.8;2011-06-01;2011-06-01
101598;2;3.2;2011-06-01;2021-04-30
101639;1;11.6;2017-02-08;2017-02-08
101639;2;6.0;2017-02-08;2021-04-30
101647;1;7.35;2019-09-18;2019-09-18
101647;2;7.7;2019-09-18;2020-07-16
101647;2;7.35;2020-07-16;2020-07-16
101647;2;7.7;2020-07-16;2021-04-30
101737;2;4.5;2011-06-01;2021-04-30
101976;2;3.7;2017-02-09;2017-02-09
101976;2;8.55;2017-02-09;2021-04-30
102015;2;6.35;2018-02-14;2018-02-14
102015;2;4.8;2018-02-14;2021-04-30
102037;2;8.55;2017-02-08;2021-04-30
102195;2;6.0;2011-06-01;2021-04-30
102233;2;4.5;2020-04-15;2021-04-30
102235;2;8.55;2017-02-08;2021-04-30
102271;2;8.55;2017-02-09;2018-04-27
102271;1;6.0;2018-04-27;2021-04-30
102275;2;3.8;2019-09-17;2019-09-17
102275;2;4.6;2019-09-17;2019-09-17
102275;2;4.05;2019-09-17;2021-04-30
102375;2;8.55;2017-02-08;2021-04-30
102401;4;4.05;2011-06-01;2021-04-30
102688;4;7.5;2018-11-21;2018-11-21
102688;2;4.25;2018-11-21;2021-04-30
102696;2;4.05;2015-02-05;2017-01-30
102696;2;8.55;2017-01-30;2021-04-30
102705;4;3.8;2011-06-01;2021-04-30
102767;2;3.8;2016-04-04;2017-09-20
102767;2;4.1;2017-09-20;2021-04-30
103007;2;4.83;2020-01-13;2020-04-13
103007;2;5.2;2020-04-13;2020-04-13
103007;2;2.9;2020-04-13;2021-04-30
103242;4;4.05;2017-02-09;2021-04-30
103401;2;4.5;2011-06-01;2011-06-01
103401;2;7.3;2011-06-01;2021-04-30
103630;2;4.15;2011-06-01;2021-04-30
103667;2;9.24;2013-08-22;2021-04-30
103689;1;16.2;2016-05-25;2016-12-22
103689;2;4.5;2016-12-22;2021-04-30
103699;2;4.5;2011-06-01;2021-04-30
103776;2;4.05;2011-06-01;2021-04-30
103871;4;4.0;2018-07-04;2021-04-30
103895;2;4.83;2017-10-06;2020-02-19
103895;2;2.9;2020-02-19;2020-02-19
103895;2;6.35;2020-02-19;2021-04-30
104005;2;9.24;2017-05-04;2019-05-24
104005;2;9.24;2019-05-24;2021-04-30
104018;2;4.5;2011-06-01;2021-04-30
104104;4;4.5;2019-09-12;2021-04-30
104132;2;9.24;2014-10-03;2021-04-30
104178;2;9.24;2010-04-12;2021-04-30
104507;2;4.88;2018-05-30;2020-08-11
104507;2;9.24;2020-08-11;2020-08-11
104507;1;6.25;2020-08-11;2021-04-30
104631;2;5.95;2017-07-26;2020-01-27
104631;2;4.4;2020-01-27;2020-01-27
104631;2;4.83;2020-01-27;2021-04-30
104670;4;4.2;2011-06-01;2020-08-03
104670;2;4.2;2020-08-03;2021-04-30
104672;2;4.2;2011-06-01;2021-04-30
104681;4;4.2;2013-04-03;2021-04-30
104689;2;4.2;2014-07-08;2021-04-30
104691;4;4.2;2011-06-01;2021-04-30
104692;4;4.2;2011-06-01;2021-04-30
105031;2;6.45;2020-04-24;2021-04-30
105239;2;4.1;2016-11-16;2016-12-23
