MATRÍCULA;Tempo de casa;SALÁRIO;SO;SX
10438;505.76536045641063;10827.83;;
10515;341.523794921184;1239.8;;
10479;307.71611919888994;21595.98;;
10393;300.1266409755178;4766.74;;
11879;277.5881904939884;12474.29;;
10027;273.74416905617653;2484.65;;
200400;273.1199262585831;1253.07;0.0;0.0
200319;273.1199262585831;1253.07;;
103387;266.6803689781462;8701.72;;
200291;265.1690443102885;1626.59;;
100506;263.624864758347;2432.87;;
100050;263.5920098742631;2729.76;;
100482;263.0006219607536;2147.8;8.0;0.0
10137;260.70078007488326;5111.94;217.0;9830.0
10107;260.70078007488326;8645.44;;
10099;260.70078007488326;3123.52;;
10169;260.3393763499608;2292.6;;
10182;259.7151335523674;3627.91;7003.0;0.0
100035;259.41943959561263;1809.58;59.0;167.0
50054;258.9266163343547;1869.6;;
50060;258.9266163343547;5884.02;956.0;0.0
10214;258.72948702985155;5096.47;211.0;0.0
50011;257.7109856232518;1227.75;;
50078;257.7109856232518;1227.75;;
50101;257.7109856232518;1227.75;;
40040;256.72533910073594;1239.0;;
106122;255.57541815780078;6769.72;;
10257;254.68833628753652;5955.91;;
200290;254.68833628753652;1253.07;;
100503;254.22836791036244;2356.9;;
40049;253.63697999685292;1239.0;;
10298;251.7313967199889;2271.31;506.0;60.0
10310;249.89152321129265;3047.59;;
10339;248.7087473842736;2003.94;;
10361;247.46026178908684;2304.45;0.0;2150.0
10370;246.70459945515802;1640.86;;
102767;245.68609804855828;2304.84;0.0;0.0
200331;242.0392059152496;1253.07;;
233698;242.0392059152496;2000.26;19.0;0.0
50110;241.61209242215938;1227.75;;
60014;241.54638265399166;1253.07;;
60004;241.54638265399166;2049.62;;
10686;241.11926916090147;6670.95;;
10693;241.11926916090147;2650.12;;
104720;240.62644589964353;10153.52;;
200332;240.42931659514036;1253.07;;
200317;240.16647752246945;1253.07;;
200293;240.1336226383856;1253.07;;
200329;239.54223472487607;1253.07;;
40090;239.27939565220518;1239.0;;
10880;237.7023612161798;24098.23;;
10910;237.176683070838;2003.94;;
40102;237.1109733026703;1239.0;;
200346;236.09247189607055;1253.07;;
10994;235.6325035188965;2650.09;134.0;0.0
90098;235.56679375072878;8567.47;;
11035;235.33680956214172;1640.86;;
90037;234.71256676454834;2502.86;;
40202;233.69406535794863;1239.0;;
40131;233.52979093752933;2771.11;;
200314;232.28130534234256;1253.07;;
102845;231.65706254474918;16533.36;;
11148;231.0328197471558;3170.22;415.0;1651.0
11202;230.27715741322697;4712.03;;
40246;230.2443025291431;1239.0;;
200201;229.75147926788517;2184.57;10.0;0.0
80327;228.5029936726984;2018.68;;
11473;226.20315178682807;1725.79;;
200570;226.13744201866035;1253.07;0.0;0.0
40313;224.72468200305428;1239.0;;
60051;224.72468200305428;1258.68;;
80325;224.69182711897042;1755.43;;
100507;224.2647136258802;1810.3;;
100156;224.23185874179634;2170.71;1317.0;540.0
100155;224.23185874179634;3454.89;416.0;26613.0
102235;222.7205340739387;1511.21;108.0;0.0
40361;222.6219694216871;1300.06;19.0;220.0
40397;220.68353126073924;2305.54;;
100511;220.42069218806833;1566.15;;
11713;219.6650298541395;1606.33;;
40559;218.4822540271205;1239.0;;
200339;218.38368937486888;1253.07;;
30007;217.75944657727553;46876.31;;
200325;217.46375262052075;1253.07;;
100483;215.49245957548902;17210.84;;
80044;213.9482800235475;2047.51;70.0;0.0
80039;213.9482800235475;1589.13;7.0;0.0
40622;212.7326493124446;1822.7;0.0;5818.0
11901;210.43280742657427;1789.62;;
11904;210.23567812207108;2831.29;8397.0;2457.0
50151;209.41430601997453;1227.75;;
11923;209.3485962518068;2356.37;;
90005;206.7530604091817;1665.71;;
90008;206.7530604091817;1633.58;;
40734;206.65449575693012;1239.0;;
40735;206.62164087284626;1239.0;;
90031;203.59899153713096;1326.06;;
