MATRÍCULA;DATA;Carga;DATA FIM
3108;2020-01-02;9.0;2021-01-31
3143;2020-01-08;9.0;2021-01-31
10107;2020-01-02;9.0;2021-01-31
10137;2020-01-02;9.0;2021-01-31
10182;2020-01-02;9.0;2020-11-12
10182;2020-11-12;8.0;2021-01-31
10214;2020-01-02;9.0;2021-01-31
10257;2020-01-02;9.0;2021-01-31
10298;2020-01-02;9.0;2020-10-13
10298;2020-10-13;8.0;2021-01-31
10361;2020-01-15;9.0;2021-01-31
10438;2020-01-02;9.0;2021-01-31
10479;2020-01-02;9.0;2021-01-31
10994;2020-01-02;9.0;2020-12-09
10994;2020-12-09;10.0;2021-01-31
11148;2020-01-02;-17.0;2020-03-18
11148;2020-03-18;-12.0;2020-06-16
11148;2020-06-16;8.0;2021-01-31
11202;2020-01-02;9.0;2021-01-31
11879;2020-01-02;9.0;2021-01-31
11904;2020-01-02;9.0;2021-01-31
12225;2020-01-22;9.0;2020-06-05
12225;2020-06-05;4.0;2021-01-31
12230;2020-01-02;9.0;2021-01-31
12246;2020-01-02;9.0;2021-01-31
12265;2020-01-02;8.0;2020-03-20
12265;2020-03-20;12.0;2021-01-31
30007;2020-01-02;9.0;2021-01-31
40131;2020-01-02;-16.0;2020-03-17
40131;2020-03-17;9.0;2020-04-09
40131;2020-04-09;10.0;2021-01-31
40361;2020-01-02;8.0;2021-01-31
40397;2020-01-02;9.0;2021-01-31
40622;2020-01-01;12.0;2020-03-02
40622;2020-03-02;9.0;2020-03-07
40622;2020-03-07;4.0;2020-08-03
40622;2020-08-03;8.0;2020-08-26
40622;2020-08-26;7.0;2021-01-31
40941;2020-01-02;12.0;2020-01-06
40941;2020-01-06;8.0;2021-01-31
41072;2020-01-02;9.0;2021-01-31
41095;2020-01-02;9.0;2021-01-31
41096;2020-01-02;9.0;2020-11-17
41096;2020-11-17;10.0;2021-01-14
41096;2021-01-14;12.0;2021-01-31
41101;2020-01-02;9.0;2020-09-01
41101;2020-09-01;10.0;2021-01-31
50060;2020-01-02;10.0;2020-01-03
50060;2020-01-03;9.0;2020-08-14
50060;2020-08-14;8.0;2020-10-03
50060;2020-10-03;4.0;2021-01-31
50154;2020-01-02;8.0;2020-12-01
50154;2020-12-01;12.0;2021-01-31
50398;2020-01-02;-17.0;2020-03-20
50398;2020-03-20;10.0;2020-03-27
50398;2020-03-27;9.0;2020-09-08
50398;2020-09-08;8.0;2021-01-31
80039;2020-01-02;9.0;2021-01-31
80044;2020-01-02;9.0;2021-01-31
80052;2020-01-02;8.0;2020-01-04
80052;2020-01-04;5.0;2020-04-02
80052;2020-04-02;9.0;2021-01-31
80053;2020-01-02;8.0;2020-01-04
80053;2020-01-04;5.0;2020-05-11
80053;2020-05-11;9.0;2021-01-31
80057;2020-01-02;8.0;2020-01-04
80057;2020-01-04;5.0;2020-09-23
80057;2020-09-23;9.0;2021-01-31
80061;2020-01-02;9.0;2020-01-06
80061;2020-01-06;8.0;2020-01-11
80061;2020-01-11;5.0;2021-01-31
80070;2020-01-15;8.0;2020-01-18
80070;2020-01-18;5.0;2020-04-02
80070;2020-04-02;9.0;2020-07-11
80070;2020-07-11;4.0;2021-01-31
80071;2020-01-02;8.0;2020-01-04
80071;2020-01-04;5.0;2020-04-02
80071;2020-04-02;9.0;2021-01-31
80095;2020-01-02;8.0;2020-01-04
80095;2020-01-04;5.0;2020-05-18
80095;2020-05-18;9.0;2021-01-31
80161;2020-01-09;8.0;2020-01-11
80161;2020-01-11;5.0;2020-01-13
80161;2020-01-13;9.0;2021-01-31
80371;2020-01-02;9.0;2021-01-31
80388;2020-01-02;9.0;2021-01-31
90098;2020-01-20;8.0;2021-01-31
90115;2020-01-02;9.0;2020-01-04
90115;2020-01-04;4.0;2021-01-31
90215;2020-01-02;9.0;2021-01-31
90293;2020-01-02;8.0;2020-01-04
90293;2020-01-04;5.0;2020-09-23
90293;2020-09-23;9.0;2021-01-31
100035;2020-01-02;12.0;2020-02-19
100035;2020-02-19;9.0;2020-03-23
100035;2020-03-23;-12.0;2020-12-08
100035;2020-12-08;10.0;2021-01-31
100050;2020-01-02;12.0;2021-01-31
100155;2020-01-02;9.0;2020-03-17
100155;2020-03-17;12.0;2020-10-05
100155;2020-10-05;-16.0;2021-01-31
100156;2020-01-02;12.0;2020-09-16
100156;2020-09-16;-12.0;2021-01-31
100187;2020-01-02;9.0;2021-01-31
100290;2020-01-01;12.0;2021-01-31
100292;2020-01-02;9.0;2020-04-29
100292;2020-04-29;-16.0;2021-01-31
100295;2020-01-03;9.0;2020-04-01
100295;2020-04-01;-16.0;2021-01-31
100298;2020-01-02;-12.0;2021-01-31
100359;2020-01-02;9.0;2021-01-31
100377;2020-01-02;12.0;2020-03-25
100377;2020-03-25;9.0;2020-06-17
100377;2020-06-17;-12.0;2021-01-31
100403;2020-01-01;-12.0;2021-01-31
100410;2020-01-01;-12.0;2021-01-31
100411;2020-01-02;-12.0;2021-01-31
100413;2020-01-01;12.0;2021-01-31
100419;2020-01-02;9.0;2021-01-31
100482;2020-01-02;9.0;2021-01-31
100483;2020-01-02;9.0;2021-01-31
100500;2020-01-02;9.0;2021-01-18
100500;2021-01-18;-16.0;2021-01-31
100681;2020-01-02;9.0;2021-01-31
100861;2020-01-22;9.0;2020-01-24
100861;2020-01-24;8.0;2020-01-27
100861;2020-01-27;10.0;2021-01-31
100992;2020-01-02;9.0;2021-01-04
100992;2021-01-04;10.0;2021-01-31
101070;2020-01-02;9.0;2021-01-31
101613;2020-01-02;9.0;2021-01-31
101639;2020-01-01;-12.0;2021-01-31
101647;2020-01-02;9.0;2020-01-09
101647;2020-01-09;12.0;2021-01-31
101779;2020-01-02;9.0;2021-01-31
101865;2020-01-02;9.0;2021-01-31
101906;2020-01-02;9.0;2021-01-31
101976;2020-01-08;9.0;2020-03-18
101976;2020-03-18;12.0;2020-10-21
101976;2020-10-21;-16.0;2021-01-31
102015;2020-01-01;-12.0;2021-01-31
102037;2020-01-02;9.0;2020-02-17
102037;2020-02-17;12.0;2021-01-31
102195;2020-01-03;8.0;2020-12-02
102195;2020-12-02;12.0;2021-01-31
102213;2020-01-02;-12.0;2021-01-31
102233;2020-01-02;12.0;2020-04-20
102233;2020-04-20;9.0;2021-01-31
102235;2020-01-02;9.0;2021-01-31
102271;2020-01-02;12.0;2021-01-31
102275;2020-01-02;9.0;2020-11-09
102275;2020-11-09;10.0;2021-01-31
102375;2020-01-02;9.0;2020-04-04
102375;2020-04-04;12.0;2021-01-31
102554;2020-01-13;9.0;2021-01-31
102619;2020-01-08;9.0;2021-01-31
102688;2020-01-02;9.0;2021-01-31
102696;2020-01-02;9.0;2020-01-04
102696;2020-01-04;4.0;2021-01-31
102706;2020-01-02;9.0;2021-01-31
102767;2020-01-02;9.0;2020-03-27
102767;2020-03-27;-12.0;2021-01-31
102845;2020-01-02;9.0;2021-01-31
103007;2020-01-02;9.0;2020-03-25
103007;2020-03-25;10.0;2020-05-16
103007;2020-05-16;4.0;2021-01-31
103063;2020-01-02;9.0;2021-01-31
103198;2020-01-01;12.0;2021-01-31
103242;2020-01-01;12.0;2020-05-09
