NC Funcionário;ADMISSÃO;CARGO;DEMISSÃO;Tipo de Rescisão
220759;2016-08-02;Mensageiro;2020-02-06;Pedido
232996;2019-12-17;Auxiliar Administrativo A;2020-03-11;Demissão Antec. Contrato Experiência
217496;2015-11-11;Eletricista;2020-03-06;Demissão
218216;2016-01-25;Eletromecânico;2020-03-25;Demissão
233317;2020-02-13;Bombeiro Civil;2020-03-24;Demissão Antec. Contrato Experiência
221967;2016-12-07;Bombeiro Civil;2020-02-05;Demissão
224863;2017-09-12;Bombeiro Civil;2020-02-04;Pedido
233253;2020-02-06;Bombeiro Civil;2020-03-21;Termino de Contrato
224236;2017-07-15;Mecânico de Refrigeração;2020-05-20;Demissão
222685;2017-02-22;Técnico de Manutenção;2020-03-19;Pedido
224405;2017-08-02;Motorista;2020-03-02;Demissão
233251;2020-02-05;Bombeiro Civil;2020-05-02;Demissão Antec. Contrato Experiência
220535;2016-07-01;Auxiliar de Manutenção Elétrica;2020-01-14;Demissão
233275;2020-02-07;Auxiliar de Manutenção Elétrica;2020-03-20;Demissão Antec. Contrato Experiência
217364;2015-11-03;Mecânico de Refrigeração;2020-02-18;Pedido
233397;2020-02-21;Eletricista;2020-04-03;Demissão Antec. Contrato Experiência
100099;2001-12-12;Assistente Administrativo;2020-04-01;Pedido
227020;2018-05-21;Mecânico de Refrigeração;2020-01-02;Pedido
227008;2018-05-18;Mecânico de Refrigeração;2020-01-16;Demissão
228464;2018-08-20;Ascensorista;2020-03-02;Demissão
233654;2020-03-11;Ascensorista;2020-04-20;Demissão Antec. Contrato Experiência
233656;2020-03-11;Ascensorista;2020-04-20;Demissão Antec. Contrato Experiência
233658;2020-03-11;Ascensorista;2020-04-20;Demissão Antec. Contrato Experiência
216962;2015-09-15;Eletricista;2020-02-11;Demissão
228435;2018-08-17;Hidráulico;2020-02-10;Demissão
226616;2018-03-26;Auxiliar de Manutenção Geral;2020-03-11;Demissão
227833;2018-08-01;Marceneiro;2020-03-11;Demissão
216418;2015-06-09;Eletricista;2020-04-01;Pedido
233576;2020-03-05;Bombeiro Civíl Condutor;2020-03-24;Demissão Antec. Contrato Experiência
232141;2019-08-14;Supervisor Técnico;2020-01-02;Pedido
220286;2016-06-02;Auxiliar Administrativo B;2020-03-03;Demissão
233234;2020-02-04;Oficial de Manutenção;2020-03-20;Demissão Antec. Contrato Experiência
233171;2020-02-04;Oficial de Manutenção;2020-03-20;Demissão Antec. Contrato Experiência
224969;2017-09-26;Oficial de Manutenção;2020-01-09;Demissão
233490;2020-03-03;Pintor;2020-03-20;Demissão Antec. Contrato Experiência
233325;2020-02-14;Eletricista;2020-03-20;Demissão Antec. Contrato Experiência
233183;2020-02-04;Mecânico de Refrigeração;2020-03-20;Demissão Antec. Contrato Experiência
226430;2018-03-02;Auxiliar de Manutenção Geral;2020-02-06;Demissão
232729;2019-11-08;Marceneiro;2020-01-03;Pedido antecipado do contrato experiência
230580;2019-03-20;Operador de Central;2020-04-02;Pedido
216738;2015-08-03;Mecânico de Refrigeração;2020-05-03;Falecimento
216915;2015-09-08;Líder de Manutenção;2020-01-14;Demissão
220363;2016-06-10;Técnico de Telefonia;2020-02-03;Pedido
233725;2020-03-17;Auxiliar de Manutenção Elétrica;2020-04-20;Demissão Antec. Contrato Experiência
229541;2018-12-10;Recepcionista A;2020-04-02;Pedido
233649;2020-03-11;Recepcionista B;2020-04-20;Demissão Antec. Contrato Experiência
102842;2005-09-01;Mecânico de Refrigeração;2020-02-10;Demissão
104323;2010-06-08;Recepcionista B;2020-01-15;Demissão
229762;2019-01-02;Recepcionista B;2020-01-02;Pedido
226116;2018-02-05;Recepcionista B;2020-02-14;Demissão
231158;2019-05-10;Recepcionista A;2020-02-17;Pedido
224482;2017-08-23;Recepcionista A;2020-03-31;Pedido
233396;2020-02-21;Auxiliar de Manutenção Elétrica;2020-04-03;Demissão Antec. Contrato Experiência
207314;2011-09-05;Eletricista;2020-01-09;Demissão
216939;2015-09-14;Técnico de Manutenção;2020-04-14;Pedido
229365;2018-11-23;Aprendiz;2020-03-21;Termino de Contrato
223160;2017-04-04;Recepcionista B;2020-02-11;Demissão
228467;2018-08-22;Eletricista;2020-02-04;Demissão
233173;2020-02-04;Eletricista;2020-03-19;Termino de Contrato
229377;2018-11-23;Aprendiz;2020-03-21;Termino de Contrato
227534;2018-06-26;Auxiliar de Manutenção Mecânica;2020-05-26;Demissão
232587;2019-10-11;Bombeiro Civil;2020-04-04;Demissão
223815;2017-06-06;Auxiliar de Manutenção Geral;2020-02-03;Pedido
229124;2018-11-05;Aprendiz - Área Administrativa;2020-02-05;Termino de Contrato
229126;2018-11-05;Aprendiz - Área Administrativa;2020-02-05;Termino de Contrato
229396;2018-11-27;Aprendiz - Área Administrativa;2020-02-25;Termino de Contrato
229410;2018-11-27;Aprendiz - Área Administrativa;2020-02-25;Termino de Contrato
229393;2018-11-27;Aprendiz - Área Administrativa;2020-02-25;Termino de Contrato
233365;2020-02-21;Oficial de Manutenção;2020-04-02;Demissão Antec. Contrato Experiência
233720;2020-03-16;Oficial de Manutenção;2020-04-02;Demissão Antec. Contrato Experiência
233524;2020-03-03;Oficial de Manutenção;2020-04-02;Demissão Antec. Contrato Experiência
223987;2017-06-27;Oficial de Manutenção;2020-04-08;Demissão
212603;2014-03-14;Pedreiro;2020-03-03;Demissão
225767;2017-12-13;Oficial de Manutenção;2020-01-13;Demissão
233582;2020-03-06;Eletricista;2020-03-23;Demissão Antec. Contrato Experiência
216925;2015-09-09;Eletricista;2020-02-03;Demissão
221917;2016-12-05;Eletricista;2020-02-03;Demissão
233100;2020-01-16;Auxiliar de Manutenção Geral;2020-03-24;Demissão Antec. Contrato Experiência
106184;2011-07-01;Encarregado Técnico;2020-01-03;Demissão
222798;2017-03-07;Técnico em Automação;2020-01-16;Pedido
230301;2019-02-19;Encarregado Técnico;2020-02-08;Pedido
222418;2017-01-25;Auxiliar de Manutenção Elétrica;2020-02-07;Demissão
230415;2019-03-06;Oficial de Manutenção;2020-04-21;Pedido
231426;2019-06-12;Auxiliar de Manutenção Geral;2020-03-19;Pedido
233197;2020-02-04;Auxiliar de Manutenção Geral;2020-03-23;Pedido antecipado do contrato experiência
231428;2019-06-12;Hidráulico;2020-05-11;Justa Causa
216499;2015-06-22;Oficial de Gasoterapia;2020-05-08;Demissão
226732;2018-04-11;Auxiliar de Manutenção Geral;2020-01-02;Pedido
229356;2018-11-21;Aprendiz;2020-02-20;Termino de Contrato
229321;2018-11-21;Pintor;2020-01-21;Demissão
230523;2019-03-15;Eletricista;2020-01-03;Pedido
225952;2018-01-12;Telhadista;2020-01-17;Demissão
233366;2020-02-21;Oficial de Manutenção;2020-04-09;Demissão Antec. Contrato Experiência
229360;2018-11-23;Aprendiz;2020-03-21;Termino de Contrato
213164;2014-06-03;Eletricista;2020-05-19;Demissão
221151;2016-09-19;Auxiliar de Manutenção Elétrica;2020-05-16;Demissão
212760;2014-04-02;Eletricista;2020-04-03;Pedido
231839;2019-08-02;Auxiliar de Manutenção Geral;2020-01-07;Pedido
226590;2018-03-22;Supervisor de Serviços B;2020-02-17;Pedido
222006;2016-12-12;Assistente Administrativo;2020-03-09;Pedido
217513;2015-11-16;Mecânico de Refrigeração;2020-05-12;Demissão
227005;2018-05-17;Mecânico de Refrigeração;2020-04-01;Pedido
220997;2016-09-01;Auxiliar Administrativo B;2020-05-13;Demissão
223314;2017-04-24;Hidráulico;2020-03-19;Demissão
233589;2020-03-06;Pintor;2020-04-17;Demissão Antec. Contrato Experiência
223443;2017-05-03;Oficial de Manutenção;2020-05-13;Demissão
233650;2020-03-11;Auxiliar de Manutenção Geral;2020-04-16;Demissão Antec. Contrato Experiência
233551;2020-03-04;Supervisor Técnico;2020-05-20;Demissão Antec. Contrato Experiência
231087;2019-05-06;Supervisor de Serviços B;2020-02-14;Pedido
231980;2019-08-05;Supervisor de Serviços A;2020-01-02;Pedido
221033;2016-09-06;Auxiliar de Manutenção Mecânica;2020-03-03;Pedido
230967;2019-04-18;Eletricista;2020-03-02;Pedido
220270;2016-06-03;Eletricista;2020-01-14;Pedido
232480;2019-09-26;Auxiliar de Manutenção Geral;2020-03-06;Demissão
226813;2018-04-24;Oficial de Manutenção;2020-03-04;Demissão
226371;2018-02-23;Operador de Central;2020-01-10;Demissão
228709;2018-09-25;Operador de Central;2020-01-11;Demissão
228818;2018-10-09;Eletricista;2020-04-23;Pedido
231299;2019-05-24;Oficial de Manutenção;2020-02-17;Demissão
233113;2020-01-21;Auxiliar de Manutenção Mecânica;2020-04-16;Demissão Antec. Contrato Experiência
223319;2017-04-24;Auxiliar Administrativo A;2020-03-02;Pedido
222271;2017-01-11;Supervisor Técnico;2020-02-07;Pedido
223285;2017-04-18;Supervisor Técnico;2020-01-17;Demissão
233252;2020-02-06;Almoxarife;2020-03-20;Demissão Antec. Contrato Experiência
105600;2011-02-11;Auxiliar Administrativo A;2020-04-20;Pedido
220992;2016-09-01;Recepcionista A;2020-01-07;Pedido
219164;2016-03-03;Eletromecânico;2020-01-22;Demissão
229743;2018-12-19;Mecânico de Refrigeração;2020-02-19;Pedido
222161;2016-12-26;Eletricista;2020-03-05;Demissão
