;MATRÍCULA;HORÁRIO;Jornada - 5x2;Jornada - 6x1;Jornada - 12x36;Jornada - movel;Jornada - fixo
0;205827;12:40-21:00(6x1)ref.16:00-17:00-movel;0;1;0;1;0
8;90293;07:00as16:30-escala5x2fixo;1;0;0;0;1
12;200400;06:00-15:48-escala5x2fixo;1;0;0;0;1
16;200570;07:00-16:48-escala5x2fixo;1;0;0;0;1
18;200981;06:0014:20-conformeescala(6x1)-movel;0;1;0;1;0
20;201203;08:00-17:00/09:00-13:00-escala6x1fixo;0;1;0;0;1
22;201498;08:00as17:00-08:00as12:00-6x1movel;0;1;0;1;0
25;202556;19:00as07:00-12x36escalamovel;0;0;1;1;0
39;202899;22:00-06:57-(5x2)-flexivel/movel;1;0;0;1;0
57;205281;08:00as17:30-escala5x2fixa;1;0;0;0;1
60;205368;09:00as21:00-escala12x36movel;0;0;1;1;0
67;206148;07:30as19:30-12x36-movel;0;0;1;1;0
71;206219;06:30as18:30-escala12x36movel;0;0;1;1;0
88;90115;08:00-17:00/08:00-12:00-6x1;0;1;0;0;0
94;50398;06:00as14:206x1-flexivel/movel;0;1;0;1;0
97;202466;14:00-22:17-(6x1)ref.16:00-17:00movel;0;1;0;1;0
99;204804;08:15-16:35-(6x1)ref.12:00-13:00movel;0;1;0;1;0
110;202201;07:00as16:00/sab.07:00as11:00flexivel/movel;0;0;0;1;0
120;41072;09:00as18:48-conformeescala(5/2)-movel;1;0;0;1;0
122;200090;06:12-16:00-(5x2)ref.12:00-13:00-movel;1;0;0;1;0
133;103718;escala5x2-isento;1;0;0;0;0
136;103086;06:00as18:00-escalamovel-12x36;0;0;1;1;0
140;105461;07:00-17:00/07:00-16:00-flexivel/fixo-escala5x2;1;0;0;0;1
141;80371;08:10as17:405x2fixo;1;0;0;0;1
150;102696;08:30-17:30/09:00-13:00-escala6x1fixo;0;1;0;0;1
171;103682;08:00as17:30detercaasabado-5x2fixa;1;0;0;0;1
173;105031;09:00as18:00/sab08:00as12:00-flexfix;0;0;0;0;1
179;105307;06:20as18:20-escala12x36-movel;0;0;1;1;0
187;103007;07:00-17:00/07:00-16:00(5x2)ref12:00-13:00movel;1;0;0;1;0
196;105239;07:12-17:00-(5x2)flexivel/movel;1;0;0;1;0
203;104691;19:00as07:00-escala12x36-movelbombeiro;0;0;1;1;0
204;103387;escala6x1-isento;0;1;0;0;0
212;103401;21:00-05:57-escala5x2fixo;1;0;0;0;1
221;105542;08:06as17:15-2aa5a/08:06-16:30-6afurukawa;0;0;0;0;0
244;101737;15:00as23:17(6x1)flexivelmovel;0;1;0;1;0
259;103242;18:00-24:00-(6x1)-flexivel-movel;0;1;0;1;0
265;105990;21:30as06:18-5x2-fixo;1;0;0;0;1
271;100419;22:00-06:57-flexivel/fixo-escala5x2;1;0;0;0;1
272;105664;12:00-18:00-(6x1)-flexivel-movel;0;1;0;1;0
281;200314;14:30-22:40-(6x1)ref.18:00-19:00-movel;0;1;0;1;0
298;40735;14:40-22:52-(6x1)-ref.18:00-19:00-movel;0;1;0;1;0
304;11148;das11:00as19:20-escala6x1-movel;0;1;0;1;0
317;10693;14:50-23:01-(6x1)ref.16:00-17:00-movel;0;1;0;1;0
319;10515;08:42-18:30-flexivel/fixo-escala5x2;1;0;0;0;1
320;100050;escala12x36-isento;0;0;1;0;0
335;80070;13:00as22:00/07:00as11:00flexivel/movel;0;0;0;1;0
340;101077;12:00-18:00-(6x1)movel;0;1;0;1;0
354;207178;11:40-20:00seg/sexe07:00-15:20sab-6x1-flex;0;1;0;0;0
359;208006;14:00-22:17-flexivel/fxo-escala6x1;0;1;0;0;0
360;208146;06:00-12:00(6x1)movel;0;1;0;1;0
371;208505;12:00as21:48-escala5x2)-fixa;1;0;0;0;1
