MATRÍCULA;DATA;NOTURNO
236127;2021-01-31;0
230125;2021-01-31;1
233129;2021-01-31;1
235385;2021-01-31;0
235373;2021-01-31;1
235320;2021-01-31;1
235308;2021-01-31;0
235292;2021-01-31;0
228521;2021-01-31;0
228730;2021-01-31;1
228914;2021-01-31;0
229475;2021-01-31;1
229488;2021-01-31;0
230034;2021-01-31;0
231263;2021-01-31;0
228511;2021-01-31;0
231417;2021-01-31;1
232021;2021-01-31;0
232098;2021-01-31;1
232111;2021-01-31;0
232221;2021-01-31;0
232229;2021-01-31;1
235275;2021-01-31;0
235049;2021-01-31;0
234942;2021-01-31;0
234937;2021-01-31;1
234911;2021-01-31;1
234905;2021-01-31;0
232847;2021-01-31;0
228380;2021-01-31;0
234837;2021-01-31;0
222064;2021-01-31;1
212383;2021-01-31;1
213701;2021-01-31;0
215868;2021-01-31;0
216807;2021-01-31;0
217366;2021-01-31;0
217701;2021-01-31;1
218389;2021-01-31;0
219686;2021-01-31;0
220660;2021-01-31;0
220918;2021-01-31;1
221425;2021-01-31;0
221708;2021-01-31;0
223220;2021-01-31;0
228189;2021-01-31;0
223302;2021-01-31;1
223787;2021-01-31;0
225827;2021-01-31;0
226457;2021-01-31;0
227080;2021-01-31;0
227151;2021-01-31;1
227210;2021-01-31;0
227211;2021-01-31;1
227326;2021-01-31;1
227561;2021-01-31;0
227838;2021-01-31;0
227975;2021-01-31;0
234888;2021-01-31;0
234756;2021-01-31;0
208576;2021-01-31;0
234834;2021-01-31;0
223247;2021-01-31;0
222422;2021-01-31;1
221990;2021-01-31;0
221880;2021-01-31;0
221550;2021-01-31;0
221073;2021-01-31;0
220364;2021-01-31;0
220294;2021-01-31;0
219833;2021-01-31;1
219825;2021-01-31;0
235037;2021-01-31;0
234978;2021-01-31;0
234801;2021-01-31;0
224396;2021-01-31;0
234722;2021-01-31;0
234710;2021-01-31;0
234529;2021-01-31;0
234146;2021-01-31;0
234074;2021-01-31;0
234070;2021-01-31;0
233698;2021-01-31;0
233751;2021-01-31;0
233940;2021-01-31;1
233958;2021-01-31;0
233988;2021-01-31;0
233766;2021-01-31;0
223966;2021-01-31;0
224879;2021-01-31;0
234578;2021-01-31;0
228865;2021-01-31;1
234531;2021-01-31;0
234242;2021-01-31;0
234198;2021-01-31;0
234159;2021-01-31;0
234101;2021-01-31;1
231389;2021-01-31;0
231183;2021-01-31;0
230617;2021-01-31;0
230250;2021-01-31;0
230153;2021-01-31;0
229900;2021-01-31;1
229229;2021-01-31;1
228749;2021-01-31;1
224970;2021-01-31;0
228698;2021-01-31;1
232571;2021-01-31;0
232825;2021-01-31;0
232984;2021-01-31;0
234087;2021-01-31;0
233785;2021-01-31;0
233755;2021-01-31;0
233537;2021-01-31;1
233497;2021-01-31;0
233412;2021-01-31;0
233393;2021-01-31;0
233315;2021-01-31;0
209575;2021-01-31;0
100290;2021-01-31;0
230314;2021-01-31;0
234734;2021-01-31;1
235164;2021-01-31;0
235130;2021-01-31;0
235033;2021-01-31;0
235029;2021-01-31;0
235008;2021-01-31;1
234871;2021-01-31;1
234841;2021-01-31;0
234830;2021-01-31;0
234750;2021-01-31;1
234743;2021-01-31;0
234739;2021-01-31;1
234577;2021-01-31;0
234833;2021-01-31;1
235490;2021-01-31;0
234860;2021-01-31;0
234869;2021-01-31;1
234886;2021-01-31;0
234896;2021-01-31;1
235012;2021-01-31;0
235041;2021-01-31;0
235065;2021-01-31;0
228665;2021-01-31;0
228413;2021-01-31;0
227643;2021-01-31;0
227610;2021-01-31;0
227528;2021-01-31;0
235446;2021-01-31;0
235576;2021-01-31;0
234570;2021-01-31;0
102233;2021-01-31;0
229971;2021-01-31;1
229884;2021-01-31;0
229880;2021-01-31;0
229748;2021-01-31;0
229414;2021-01-31;1
228982;2021-01-31;0
228960;2021-01-31;0
228949;2021-01-31;0
228766;2021-01-31;0
235667;2021-01-31;0
235626;2021-01-31;0
103198;2021-01-31;0
227090;2021-01-31;0
232253;2021-01-31;0
226436;2021-01-31;0
226254;2021-01-31;1
225406;2021-01-31;0
230443;2021-01-31;0
230495;2021-01-31;1
230641;2021-01-31;1
230681;2021-01-31;0
231352;2021-01-31;0
231408;2021-01-31;0
231542;2021-01-31;0
231607;2021-01-31;0
231922;2021-01-31;0
227262;2021-01-31;1
234474;2021-01-31;0
234147;2021-01-31;0
232684;2021-01-31;1
236080;2021-01-31;0
236074;2021-01-31;0
236072;2021-01-31;0
235944;2021-01-31;0
235941;2021-01-31;0
235884;2021-01-31;0
235878;2021-01-31;0
235861;2021-01-31;0
235836;2021-01-31;0
232490;2021-01-31;0
232634;2021-01-31;0
232655;2021-01-31;0
235246;2021-01-31;0
236097;2021-01-31;0
235145;2021-01-31;0
235098;2021-01-31;0
235021;2021-01-31;0
235006;2021-01-31;1
234617;2021-01-31;0
234487;2021-01-31;0
234484;2021-01-31;0
234437;2021-01-31;0
234435;2021-01-31;0
234415;2021-01-31;0
234306;2021-01-31;0
234304;2021-01-31;0
236087;2021-01-31;0
227123;2021-01-31;0
234348;2021-01-31;0
235300;2021-01-31;0
234288;2021-01-31;0
234148;2021-01-31;0
234100;2021-01-31;0
234056;2021-01-31;0
234053;2021-01-31;0
233998;2021-01-31;0
227213;2021-01-31;1
227045;2021-01-31;0
226583;2021-01-31;1
235455;2021-01-31;0
235378;2021-01-31;0
235370;2021-01-31;1
235255;2021-01-31;0
236141;2021-01-31;0
235244;2021-01-31;0
235238;2021-01-31;0
226318;2021-01-31;0
235687;2021-01-31;0
235685;2021-01-31;0
235618;2021-01-31;0
235520;2021-01-31;0
235334;2021-01-31;1
232276;2021-01-31;0
232425;2021-01-31;0
232441;2021-01-31;0
232486;2021-01-31;0
233712;2021-01-31;0
233392;2021-01-31;0
233117;2021-01-31;0
222981;2021-01-31;0
215968;2021-01-31;0
215825;2021-01-31;0
215790;2021-01-31;0
215186;2021-01-31;0
213825;2021-01-31;0
212339;2021-01-31;0
100413;2021-01-31;0
40622;2021-01-31;0
103689;2021-01-31;0
102015;2021-01-31;0
103699;2021-01-31;0
223297;2021-01-31;0
222489;2021-01-31;0
217275;2021-01-31;0
222359;2021-01-31;0
221852;2021-01-31;1
220282;2021-01-31;0
219921;2021-01-31;0
219890;2021-01-31;0
219397;2021-01-31;0
219337;2021-01-31;0
217629;2021-01-31;1
215228;2021-01-31;0
214926;2021-01-31;0
214394;2021-01-31;0
210883;2021-01-31;0
216989;2021-01-31;0
217544;2021-01-31;0
234038;2021-01-31;0
224389;2021-01-31;1
233057;2021-01-31;0
233228;2021-01-31;0
233287;2021-01-31;0
230252;2021-01-31;0
230220;2021-01-31;0
230176;2021-01-31;0
230159;2021-01-31;0
40361;2021-01-31;0
104681;2021-01-31;0
100377;2021-01-31;0
205368;2021-01-31;0
224661;2021-01-31;0
224256;2021-01-31;0
217576;2021-01-31;0
224246;2021-01-31;0
223993;2021-01-31;0
223986;2021-01-31;0
223952;2021-01-31;0
223254;2021-01-31;0
222846;2021-01-31;0
222841;2021-01-31;0
222408;2021-01-31;1
222226;2021-01-31;1
220075;2021-01-31;0
219775;2021-01-31;0
217685;2021-01-31;0
233681;2021-01-31;0
234043;2021-01-31;0
233094;2021-01-31;0
228316;2021-01-31;0
235287;2021-01-31;0
235386;2021-01-31;0
235419;2021-01-31;0
235430;2021-01-31;0
235487;2021-01-31;0
235491;2021-01-31;0
235537;2021-01-31;0
235716;2021-01-31;0
235791;2021-01-31;0
235795;2021-01-31;0
230124;2021-01-31;0
228600;2021-01-31;0
228265;2021-01-31;0
235140;2021-01-31;0
228228;2021-01-31;0
228195;2021-01-31;0
227401;2021-01-31;1
227183;2021-01-31;1
236156;2021-01-31;0
236116;2021-01-31;0
236090;2021-01-31;0
236082;2021-01-31;0
235939;2021-01-31;0
235817;2021-01-31;0
225551;2021-01-31;0
226216;2021-01-31;0
235178;2021-01-31;0
235042;2021-01-31;0
234083;2021-01-31;0
215321;2021-01-31;0
224489;2021-01-31;0
223299;2021-01-31;1
223298;2021-01-31;1
222580;2021-01-31;0
222385;2021-01-31;0
221803;2021-01-31;0
220999;2021-01-31;0
220311;2021-01-31;0
220303;2021-01-31;0
217595;2021-01-31;0
217407;2021-01-31;0
215610;2021-01-31;0
214768;2021-01-31;0
235022;2021-01-31;0
214545;2021-01-31;0
213246;2021-01-31;0
211585;2021-01-31;0
211071;2021-01-31;0
100500;2021-01-31;0
105771;2021-01-31;0
102037;2021-01-31;0
100410;2021-01-31;0
40941;2021-01-31;0
234573;2021-01-31;1
234594;2021-01-31;0
234719;2021-01-31;0
233608;2021-01-31;0
233562;2021-01-31;0
233470;2021-01-31;0
234255;2021-01-31;0
230779;2021-01-31;0
230728;2021-01-31;0
230563;2021-01-31;1
230464;2021-01-31;0
233160;2021-01-31;0
233431;2021-01-31;0
233505;2021-01-31;0
233634;2021-01-31;0
233732;2021-01-31;0
234063;2021-01-31;0
234142;2021-01-31;0
234216;2021-01-31;0
234327;2021-01-31;0
230923;2021-01-31;0
234424;2021-01-31;0
209688;2021-01-31;1
214041;2021-01-31;0
214431;2021-01-31;0
216970;2021-01-31;1
217742;2021-01-31;0
217980;2021-01-31;0
219731;2021-01-31;1
220146;2021-01-31;0
220247;2021-01-31;0
220289;2021-01-31;1
222105;2021-01-31;0
230920;2021-01-31;1
231474;2021-01-31;0
233468;2021-01-31;0
233247;2021-01-31;0
232752;2021-01-31;0
232703;2021-01-31;0
232694;2021-01-31;1
232373;2021-01-31;0
232285;2021-01-31;0
232195;2021-01-31;1
219250;2021-01-31;0
217938;2021-01-31;0
217501;2021-01-31;0
216617;2021-01-31;0
216386;2021-01-31;0
233304;2021-01-31;0
233184;2021-01-31;0
231666;2021-01-31;0
233095;2021-01-31;0
232982;2021-01-31;0
212087;2021-01-31;0
211676;2021-01-31;0
209926;2021-01-31;1
209233;2021-01-31;0
104018;2021-01-31;0
105863;2021-01-31;0
101639;2021-01-31;0
232193;2021-01-31;1
232093;2021-01-31;0
231762;2021-01-31;1
222590;2021-01-31;0
223190;2021-01-31;0
223277;2021-01-31;0
230540;2021-01-31;0
225442;2021-01-31;1
225185;2021-01-31;1
225138;2021-01-31;0
228901;2021-01-31;0
228922;2021-01-31;0
229146;2021-01-31;0
230011;2021-01-31;0
230128;2021-01-31;0
230187;2021-01-31;0
230224;2021-01-31;0
230280;2021-01-31;1
230394;2021-01-31;1
230682;2021-01-31;0
223870;2021-01-31;0
231513;2021-01-31;0
231636;2021-01-31;0
231849;2021-01-31;0
231850;2021-01-31;0
232039;2021-01-31;0
232288;2021-01-31;0
232355;2021-01-31;0
232791;2021-01-31;0
232832;2021-01-31;0
233208;2021-01-31;0
233408;2021-01-31;0
233411;2021-01-31;0
226200;2021-01-31;1
226542;2021-01-31;0
227129;2021-01-31;1
227251;2021-01-31;1
224585;2021-01-31;0
225295;2021-01-31;1
225584;2021-01-31;0
225681;2021-01-31;0
226155;2021-01-31;1
226667;2021-01-31;0
226687;2021-01-31;0
226692;2021-01-31;0
227120;2021-01-31;0
227215;2021-01-31;1
227821;2021-01-31;0
227898;2021-01-31;0
228176;2021-01-31;0
228337;2021-01-31;0
228370;2021-01-31;0
228522;2021-01-31;0
228769;2021-01-31;0
228476;2021-01-31;0
228355;2021-01-31;0
228255;2021-01-31;0
228188;2021-01-31;1
227732;2021-01-31;1
227725;2021-01-31;1
227558;2021-01-31;0
227292;2021-01-31;1
230030;2021-01-31;0
226670;2021-01-31;0
230316;2021-01-31;0
230009;2021-01-31;1
230768;2021-01-31;0
230935;2021-01-31;1
231246;2021-01-31;0
231563;2021-01-31;1
231885;2021-01-31;0
232091;2021-01-31;0
232244;2021-01-31;0
232278;2021-01-31;0
232385;2021-01-31;0
232539;2021-01-31;1
232604;2021-01-31;0
232768;2021-01-31;0
231067;2021-01-31;1
231349;2021-01-31;0
231667;2021-01-31;0
231913;2021-01-31;0
231963;2021-01-31;0
232191;2021-01-31;0
232243;2021-01-31;0
232346;2021-01-31;0
230447;2021-01-31;0
235646;2021-01-31;0
235604;2021-01-31;0
230543;2021-01-31;1
229381;2021-01-31;1
235550;2021-01-31;0
228848;2021-01-31;0
234740;2021-01-31;0
234718;2021-01-31;0
234675;2021-01-31;0
234609;2021-01-31;0
234475;2021-01-31;0
234391;2021-01-31;0
234260;2021-01-31;0
236120;2021-01-31;0
236078;2021-01-31;1
236048;2021-01-31;0
235945;2021-01-31;0
235916;2021-01-31;0
235899;2021-01-31;0
235840;2021-01-31;0
235763;2021-01-31;0
235617;2021-01-31;0
235616;2021-01-31;0
235432;2021-01-31;0
228105;2021-01-31;0
228113;2021-01-31;0
228187;2021-01-31;0
228519;2021-01-31;0
228626;2021-01-31;0
235575;2021-01-31;0
235533;2021-01-31;0
234865;2021-01-31;1
234055;2021-01-31;1
234389;2021-01-31;0
234431;2021-01-31;0
234488;2021-01-31;0
234592;2021-01-31;0
234707;2021-01-31;0
223949;2021-01-31;0
223942;2021-01-31;0
223937;2021-01-31;0
223826;2021-01-31;0
223806;2021-01-31;0
223279;2021-01-31;0
222446;2021-01-31;0
222353;2021-01-31;0
222220;2021-01-31;0
222163;2021-01-31;0
221664;2021-01-31;0
221213;2021-01-31;0
220302;2021-01-31;0
219531;2021-01-31;0
217378;2021-01-31;0
217342;2021-01-31;0
217154;2021-01-31;0
215827;2021-01-31;0
234060;2021-01-31;0
234022;2021-01-31;0
235462;2021-01-31;0
234005;2021-01-31;0
235413;2021-01-31;0
235381;2021-01-31;0
235187;2021-01-31;0
235168;2021-01-31;0
235089;2021-01-31;1
234924;2021-01-31;0
234882;2021-01-31;0
234769;2021-01-31;0
234692;2021-01-31;0
234522;2021-01-31;1
234499;2021-01-31;0
234289;2021-01-31;0
234265;2021-01-31;0
232826;2021-01-31;0
232859;2021-01-31;0
232861;2021-01-31;0
233137;2021-01-31;0
233248;2021-01-31;1
233279;2021-01-31;0
233294;2021-01-31;0
233476;2021-01-31;1
233829;2021-01-31;0
233983;2021-01-31;0
234835;2021-01-31;0
234926;2021-01-31;1
214897;2021-01-31;0
226681;2021-01-31;0
226301;2021-01-31;0
226041;2021-01-31;0
225961;2021-01-31;0
225455;2021-01-31;0
224521;2021-01-31;0
224042;2021-01-31;0
221410;2021-01-31;0
221273;2021-01-31;0
221202;2021-01-31;0
220352;2021-01-31;0
219828;2021-01-31;0
219171;2021-01-31;1
217293;2021-01-31;0
211550;2021-01-31;0
208430;2021-01-31;0
207857;2021-01-31;0
207487;2021-01-31;0
206915;2021-01-31;0
100403;2021-01-31;0
10994;2021-01-31;0
102195;2021-01-31;1
105449;2021-01-31;0
236168;2021-01-31;1
226532;2021-01-31;0
235122;2021-01-31;0
102767;2021-01-31;0
235076;2021-01-31;0
231060;2021-01-31;0
230771;2021-01-31;0
230589;2021-01-31;0
230568;2021-01-31;0
230105;2021-01-31;1
230093;2021-01-31;0
230037;2021-01-31;0
229720;2021-01-31;0
229639;2021-01-31;0
229586;2021-01-31;1
229242;2021-01-31;0
228697;2021-01-31;0
228658;2021-01-31;0
228554;2021-01-31;0
228175;2021-01-31;1
228171;2021-01-31;0
227874;2021-01-31;1
227859;2021-01-31;0
227820;2021-01-31;0
227499;2021-01-31;1
227026;2021-01-31;0
226858;2021-01-31;0
235045;2021-01-31;0
235950;2021-01-31;0
215312;2021-01-31;0
235027;2021-01-31;0
